Entry	CBB_01	CBB_02	CBB_03	rGlyP_07	rGlyP_08	rGlyP_09	CBB_UP_01	CBB_UP_02	CBB_UP_03	rGlyP_UP_07	rGlyP_UP_08	rGlyP_UP_09	CBB_01_imputado	CBB_02_imputado	CBB_03_imputado	rGlyP_07_imputado	rGlyP_08_imputado	rGlyP_09_imputado	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	KEGG	log2FC	p_value	neg_log10_p	p_adj_fdr	regulate	color
Q0K6G1	30.67191758620081	30.51735422875297	30.57473265051229	30.52656721038277	30.317611649871132	30.35629469158643	15	15	14	16	15	17	No	No	No	No	No	No	Q0K6G1_CUPNH	LIPOPROTEIN	H16_A3341 E6A55_17040	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	109						reh:H16_A3341	-0.18784363787524683	0.07480584543385785	0.9120603483588472	0.12244460418109658	no_keep	gray
Q0K6G2	23.027996347485228	23.43736015591419	23.576371749869313	23.33505814837665	23.54049513173988	23.3782534849113	6	8	7	7	8	8	No	No	No	No	No	No	Q0K6G2_CUPNH	Peptide chain release factor 1 (RF-1)	prfA H16_A3340	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	356		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; hydrolase activity [GO:0016787]; translation release factor activity, codon specific [GO:0016149]	hydrolase activity [GO:0016787]; translation release factor activity, codon specific [GO:0016149]	GO:0005737; GO:0016149; GO:0016787	reh:H16_A3340	0.07069283725303421	0.7085747464563878	0.1160655796433692	0.7654810084774967	no_keep	gray
Q0K6G3	20.748859238129185	20.098978557243314	20.556486330134653	20.837957884778003	20.93044831112217	20.84200859088313	1	3	4	2	4	4	No	No	No	No	No	No	HEM1_CUPNH	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA H16_A3339	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	434	protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]		glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]	glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]	GO:0008883; GO:0019353; GO:0050661	reh:H16_A3339	0.40203022042538095	0.1083568623177945	0.7823049890467316	0.16508020934532472	no_keep	gray
Q0K6G5	27.086617814941164	26.998093178780486	26.867387380747655	26.973121561413553	26.82393187477652	26.885287146650235	4	5	5	5	5	5	No	No	No	No	No	No	Q0K6G5_CUPNH	adenosylhomocysteine nucleosidase (EC 3.2.2.9)	pfs H16_A3337	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	275	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside catabolic process [GO:0009164]	cytosol [GO:0005829]	cytosol [GO:0005829]; adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside catabolic process [GO:0009164]	adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]	GO:0005829; GO:0008782; GO:0008930; GO:0009164; GO:0019284; GO:0019509	reh:H16_A3337	-0.08991926387632887	0.3077492462124919	0.4121065524894556	0.3871626443946291	no_keep	gray
Q0K6G6	22.54371330685208	22.540435344488625	22.37194502230459	22.326328338965254	22.175803293082804	22.201009243292344	2	2	2	2	2	2	No	No	No	No	No	No	Q0K6G6_CUPNH	DUF2157 domain-containing protein (Hypothetical membrane protein)	H16_A3336 E6A55_17015	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	341		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020	reh:H16_A3336	-0.2509842661016286	0.026762739398940607	1.2579917796870774	0.055208788908485955	no_keep	gray
Q0K6G7	23.660667876906913	23.410975468184237	23.322322672606862	23.53905951127238	23.578672440851207	23.506243037697768	2	2	2	2	2	2	No	No	No	No	No	No	Q0K6G7_CUPNH	Conserved hypothetical membrane protein (DUF4401 domain-containing protein)	H16_A3335 E6A55_17010	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	372		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020	reh:H16_A3335	0.07666965737445253	0.4997041039976126	0.2400309524262705	0.5753989268516888	no_keep	gray
Q0K6G8	24.04508229617566	23.99958904379241	23.99033936353801	24.08415670283049	23.94813548667799	23.975052458922796	5	6	5	5	5	5	No	No	No	No	No	No	Q0K6G8_CUPNH	GDYXXLXY domain-containing protein	H16_A3334 E6A55_17005	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	165						reh:H16_A3334	-0.009222018358268969	0.847283612526651	0.05513420175373884	0.8807766613124267	no_keep	gray
Q0K6G9	27.425612669191363	27.446074021864632	27.51885262705096	27.68191978651097	27.714661509839747	27.723972398561436	20	22	24	25	24	22	No	No	No	No	No	No	Q0K6G9_CUPNH	Ribosome-binding ATPase YchF	ychF H16_A3333 E6A55_17000	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	363		cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]	GO:0005524; GO:0005525; GO:0005737; GO:0016887; GO:0043023	reh:H16_A3333	0.24333812560173484	0.0014288610555232707	2.2027086171848795	0.006270344221149157	no_keep	gray
Q0K6H0	23.779359358201567	24.12053086958304	24.22101914383465	24.28778422029671	24.456856187338783	24.365010844988017	15	16	15	15	15	15	No	No	No	No	No	No	Q0K6H0_CUPNH	FAD-binding Monooxygenase (UbiH/UbiF family hydroxylase)	H16_A3332 E6A55_16995	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	431	ubiquinone biosynthetic process [GO:0006744]		FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; ubiquinone biosynthetic process [GO:0006744]	FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0006744; GO:0016705; GO:0071949	reh:H16_A3332	0.3295806270014161	0.08150107318039372	0.8829575048898042	0.13093100308947125	no_keep	gray
Q0K6H1	25.358675051285463	25.40391280101855	25.48798869742846	25.820598054482225	25.92962952589233	25.91691749347595	10	11	11	12	12	12	No	No	No	No	No	No	Q0K6H1_CUPNH	Thiol:disulfide interchange protein	H16_A3331 E6A55_16990	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	252		periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; isomerase activity [GO:0016853]	isomerase activity [GO:0016853]	GO:0016853; GO:0042597	reh:H16_A3331	0.4721895080393459	0.0007675079967933097	2.3939759789755164	0.0040366771939453535	no_keep	gray
Q0K6H2	26.606461127389295	26.605077397275153	26.71772255402163	27.69754467828225	27.761727703758243	27.740205212932324	13	15	16	16	18	17	No	No	No	No	No	No	Q0K6H2_CUPNH	Alcohol dehydrogenase (EC 1.1.1.1) (Oxidoreductase)	H16_A3330 E6A55_16985	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	334			acryloyl-CoA reductase (NADPH) activity [GO:0043957]; alcohol dehydrogenase (NAD+) activity [GO:0004022]	acryloyl-CoA reductase (NADPH) activity [GO:0043957]; alcohol dehydrogenase (NAD+) activity [GO:0004022]	GO:0004022; GO:0043957	reh:H16_A3330	1.090072172095578	1.2864732601327835e-05	3.518786826520563	0.0003028399553489996	upregulate	red
Q0K6H3	25.60634598635296	25.55778114134866	25.609145812587368	26.055933516269608	26.105712368575656	26.03019752355014	13	13	14	12	13	13	No	No	No	No	No	No	Q0K6H3_CUPNH	M61 family peptidase (Unassigned peptidase, M61 subfamily (Glycyl aminopeptidase) (EC 3.4.-.-))	H16_A3329 E6A55_16980	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	604			aminopeptidase activity [GO:0004177]	aminopeptidase activity [GO:0004177]	GO:0004177	reh:H16_A3329	0.4728568227021377	6.942766052484874e-05	3.077997298859987	0.0008356082153678931	no_keep	gray
Q0K6H4	21.71929004386977	21.87570108234138	21.826699361807105	22.2164902421885	22.04340429599223	22.126022908450764	2	2	2	2	2	2	No	No	No	No	No	No	Q0K6H4_CUPNH	Conserved hypothetical membrane protein	H16_A3328	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	773		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]		GO:0005886	reh:H16_A3328	0.32140898620441405	0.009153615045823547	1.6169283877073886	0.024158591608281134	no_keep	gray
Q0K6H5	20.50317748816497	21.004295631596047	20.944293082915053	21.069886005693455	21.00120815607526	20.55284626972967	2	2	3	3	3	3	No	No	No	No	No	No	Q0K6H5_CUPNH	ABC-type transporter, ATPase component (EC 3.6.3.-) (ATP-binding cassette domain-containing protein)	H16_A3327 E6A55_16970	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	443		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0016887	reh:H16_A3327	0.05739140960743683	0.8123568201674266	0.06936641315438198	0.852380659155961	no_keep	gray
Q0K6H7	22.10719536104421	22.077705507753876	21.891574315845777	22.33589680132718	22.326535675053783	21.852863189521507	1	2	2	2	2	2	No	No	No	No	No	No	ACYP_CUPNH	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	acyP H16_A3325	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	92			acylphosphatase activity [GO:0003998]	acylphosphatase activity [GO:0003998]	GO:0003998	reh:H16_A3325	0.14627349375287224	0.44584970909525057	0.2782743706589562	0.5268968829348326	no_keep	gray
Q0K6H8	20.70898108305775	21.989833729351172	22.422577567005735	22.218331458580593	22.42483989588648	22.04849601157212	0	2	3	1	3	3	Si	No	No	No	No	No	Q0K6H8_CUPNH	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung H16_A3324 E6A55_16955	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	258	base-excision repair, AP site formation via deaminated base removal [GO:0097510]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair, AP site formation via deaminated base removal [GO:0097510]	uracil DNA N-glycosylase activity [GO:0004844]	GO:0004844; GO:0005737; GO:0097510	reh:H16_A3324	0.5234249955415073	0.37588800015238005	0.33991868520448415	0.4571737801853322	no_keep	gray
Q0K6H9	23.35433719401106	22.991975441812436	22.802365524002116	22.768230600195945	22.9324837495076	22.820823396573036	3	3	3	2	2	2	No	No	No	No	No	No	Q0K6H9_CUPNH	CYTH domain-containing protein	H16_A3323 E6A55_16950	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	209			inorganic triphosphate phosphatase activity [GO:0050355]; metal ion binding [GO:0046872]	inorganic triphosphate phosphatase activity [GO:0050355]; metal ion binding [GO:0046872]	GO:0046872; GO:0050355	reh:H16_A3323	-0.20904680451634405	0.2837770285304165	0.44162415051604065	0.3617227713014348	no_keep	gray
Q0K6I0	26.318080164686577	26.36215813565757	26.416109306658218	26.43128036542699	26.44500162060885	26.411407504627093	18	18	19	19	19	18	No	No	No	No	No	No	TRPC_CUPNH	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC H16_A3322	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	267	tryptophan biosynthetic process [GO:0000162]; tryptophan metabolic process [GO:0006568]		indole-3-glycerol-phosphate synthase activity [GO:0004425]; phosphoribosylanthranilate isomerase activity [GO:0004640]; tryptophan biosynthetic process [GO:0000162]; tryptophan metabolic process [GO:0006568]	indole-3-glycerol-phosphate synthase activity [GO:0004425]; phosphoribosylanthranilate isomerase activity [GO:0004640]	GO:0000162; GO:0004425; GO:0004640; GO:0006568	reh:H16_A3322	0.06378062788685668	0.10047223931551724	0.8087218130933803	0.1553381708485142	no_keep	gray
Q0K6I1	26.94582629235986	26.869589194703224	26.899448951499124	27.145108222282424	27.30119825701344	27.284892426352418	6	7	8	7	7	8	No	No	No	No	No	No	TRPD_CUPNH	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD H16_A3321	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	341	tryptophan biosynthetic process [GO:0000162]	cytosol [GO:0005829]	cytosol [GO:0005829]; anthranilate phosphoribosyltransferase activity [GO:0004048]; magnesium ion binding [GO:0000287]; tryptophan biosynthetic process [GO:0000162]	anthranilate phosphoribosyltransferase activity [GO:0004048]; magnesium ion binding [GO:0000287]	GO:0000162; GO:0000287; GO:0004048; GO:0005829	reh:H16_A3321	0.33877815569535485	0.003357430544548577	1.9402167385542193	0.011475807680957021	no_keep	gray
Q0K6I2	23.941419516383633	24.164072092331196	24.237761321489288	24.160761810768907	24.125602276911557	24.182279777977374	2	4	4	4	4	4	No	No	No	No	No	No	Q0K6I2_CUPNH	Anthranilate synthase component II (EC 4.1.3.27)	trpG H16_A3320 E6A55_16935	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	189	glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	cytosol [GO:0005829]	cytosol [GO:0005829]; anthranilate synthase activity [GO:0004049]; glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]	GO:0000162; GO:0004049; GO:0005829; GO:0006541	reh:H16_A3320	0.04179697848457664	0.6685125792146351	0.1353535347016241	0.7322282246632345	no_keep	gray
Q0K6I3	25.123306242004343	25.16568034281596	25.144953698498004	25.084667494624345	24.97074385032311	24.991237318212978	10	10	10	10	10	11	No	No	No	No	No	No	Q0K6I3_CUPNH	Anthranilate synthase component 1 (EC 4.1.3.27)	trpE H16_A3319 E6A55_16930	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	505	tryptophan biosynthetic process [GO:0000162]		anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; metal ion binding [GO:0046872]	GO:0000162; GO:0004049; GO:0046872	reh:H16_A3319	-0.12909720671929037	0.02543343318696849	1.2773462373833402	0.05280241214278878	no_keep	gray
Q0K6I4	25.316151603950455	24.79417445293128	24.54895844741247	24.711468768771212	24.37151359381026	24.530463186930515	3	4	3	4	3	3	No	No	No	No	No	No	Q0K6I4_CUPNH	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph H16_A3318 E6A55_16925	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	247	carbohydrate metabolic process [GO:0005975]; DNA repair [GO:0006281]; glycolate biosynthetic process [GO:0046295]	cytosol [GO:0005829]	cytosol [GO:0005829]; metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]; carbohydrate metabolic process [GO:0005975]; DNA repair [GO:0006281]; glycolate biosynthetic process [GO:0046295]	metal ion binding [GO:0046872]; phosphoglycolate phosphatase activity [GO:0008967]	GO:0005829; GO:0005975; GO:0006281; GO:0008967; GO:0046295; GO:0046872	reh:H16_A3318	-0.3486129849274029	0.23037461757602326	0.5138725909476743	0.3062861854246908	no_keep	gray
Q0K6I5	27.759165474324647	27.716413478453752	27.694858150059268	27.503954851192216	27.503391432243784	27.51641831356863	5	6	6	5	6	6	No	No	No	No	No	No	Q0K6I5_CUPNH	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rpe H16_A3317 E6A55_16920	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	233	pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]		D-ribulose-phosphate 3-epimerase activity [GO:0004750]; metal ion binding [GO:0046872]; pentose catabolic process [GO:0019323]; pentose-phosphate shunt [GO:0006098]	D-ribulose-phosphate 3-epimerase activity [GO:0004750]; metal ion binding [GO:0046872]	GO:0004750; GO:0006098; GO:0019323; GO:0046872	reh:H16_A3317	-0.21555750194434609	0.00037097396539540844	2.6078279535976177	0.0024670164559017706	no_keep	gray
Q0K6I6	25.234680118025167	25.518167668587147	25.873901670788833	25.352453484230622	25.692575461697327	25.5810560424271	5	5	5	5	5	5	No	No	No	No	No	No	Q0K6I6_CUPNH	Protein ApaG	apaG H16_A3316 E6A55_16915	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	124						reh:H16_A3316	-0.00022148968203339336	0.9992100072615745	0.00034322507755858445	0.9992100072615745	no_keep	gray
Q0K6I8	25.70197580927916	25.557988789634436	25.502071523871457	24.83929327858792	24.894321302956257	24.93087096521242	12	12	12	8	11	8	No	No	No	No	No	No	Q0K6I8_CUPNH	peptidoglycan lytic exotransglycosylase (EC 4.2.2.n1) (Murein hydrolase A)	mltA H16_A3314 E6A55_16905	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	378	cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; peptidoglycan turnover [GO:0009254]	outer membrane [GO:0019867]	outer membrane [GO:0019867]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; lytic transglycosylase activity [GO:0008933]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; peptidoglycan turnover [GO:0009254]	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; lytic transglycosylase activity [GO:0008933]	GO:0004553; GO:0008933; GO:0009253; GO:0009254; GO:0019867; GO:0071555	reh:H16_A3314	-0.6991835253428178	0.0004291295854265045	2.5601888445949457	0.002753031340351575	no_keep	gray
Q0K6I9	24.534364397500827	24.82312167766861	24.78549953980678	24.938202060789987	25.02937929812898	24.98944755012259	9	6	9	8	10	9	No	No	No	No	No	No	Q0K6I9_CUPNH	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase)	paaL1 paaF H16_A3313 E6A55_16900	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	434	phenylacetate catabolic process [GO:0010124]		nucleotide binding [GO:0000166]; phenylacetate-CoA ligase activity [GO:0047475]; phenylacetate catabolic process [GO:0010124]	nucleotide binding [GO:0000166]; phenylacetate-CoA ligase activity [GO:0047475]	GO:0000166; GO:0010124; GO:0047475	reh:H16_A3313	0.27134776468844635	0.04526316073935616	1.0825978024054448	0.08268032928546974	no_keep	gray
Q0K6J0	22.787343778385573	22.80830693046238	22.693793801125462	23.231738343901227	23.19097701900777	23.066299614664217	3	4	4	3	4	4	No	No	No	No	No	No	Q0K6J0_CUPNH	Hydroxyphenylacetyl-CoA thioesterase PaaI (Phenylacetic acid degradation protein)	paaI1 paaI H16_A3312 E6A55_16895	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	150			acyl-CoA hydrolase activity [GO:0016289]	acyl-CoA hydrolase activity [GO:0016289]	GO:0016289	reh:H16_A3312	0.39985682253326615	0.0027933567266792345	1.9967320947761518	0.01007553011022238	no_keep	gray
Q0K6J2	24.395283908420964	24.459976326596134	24.585577310354953	24.04286890605735	24.199830385223656	24.035971982688153	2	4	6	3	6	5	No	No	No	No	No	No	Q0K6J2_CUPNH	ABC-type transporter, periplasmic component: PAAT family (Amino acid ABC transporter substrate-binding protein)	H16_A3310 E6A55_16885	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	261		membrane [GO:0016020]	membrane [GO:0016020]; ligand-gated monoatomic ion channel activity [GO:0015276]	ligand-gated monoatomic ion channel activity [GO:0015276]	GO:0015276; GO:0016020	reh:H16_A3310	-0.38738875713429266	0.007448288571901644	1.6892426751983114	0.020453014432155126	no_keep	gray
Q0K6J4	23.444140442090767	23.083083963899984	22.878435289853147	22.797584607544085	22.510835927838897	22.647850844856617	4	3	4	2	4	4	No	No	No	No	No	No	Q0K6J4_CUPNH	ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)	H16_A3308	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	269		plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	GO:0005524; GO:0005886; GO:0015424; GO:0016887	reh:H16_A3308	-0.48312943853476753	0.05927732114024114	0.9889924188157224	0.10256698305178655	no_keep	gray
Q0K6J5	28.64458896913082	28.547315276037367	28.5143830063764	28.953165193285873	28.853232605422008	28.876930712815906	25	24	24	26	25	26	No	No	No	No	No	No	Q0K6J5_CUPNH	Enoyl-CoA hydratase (EC 4.2.1.17, EC 4.2.1.-)	H16_A3307 E6A55_16870	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	258	fatty acid beta-oxidation [GO:0006635]		hydro-lyase activity [GO:0016836]; fatty acid beta-oxidation [GO:0006635]	hydro-lyase activity [GO:0016836]	GO:0006635; GO:0016836	reh:H16_A3307	0.3256804199930663	0.002734197892326997	2.003731841192164	0.009914439313916154	no_keep	gray
Q0K6J6	21.18153532052851	21.356319888173154	21.399271226326533	20.937735120988933	21.286629780130284	21.38322585257195	2	2	3	2	2	2	No	No	No	No	No	No	Q0K6J6_CUPNH	DUF3047 domain-containing protein	H16_A3301 E6A55_16835	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	315						reh:H16_A3301	-0.1098452271123449	0.5067087114863792	0.23432800135938386	0.5830046231094761	no_keep	gray
Q0K6J7	23.890437844921287	23.74173297980869	23.774585173488735	24.02283348411575	23.96689477921951	23.9936680857485	1	1	2	2	3	3	No	No	No	No	No	No	Q0K6J7_CUPNH	DUF2891 domain-containing protein (Hypothetical membrane associated protein)	H16_A3300 E6A55_16830	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	341						reh:H16_A3300	0.19221345028834946	0.015966720715547948	1.4277647615325193	0.037345238596702295	no_keep	gray
Q0K6J8	26.630680688552356	26.78231753289581	26.919127877481937	27.342569078360498	27.454638266286494	27.362718347013832	15	15	16	15	14	14	No	No	No	No	No	No	Q0K6J8_CUPNH	Amidohydrolase (Putative peptidase, M20D subfamily (EC 3.4.17.-))	hipO H16_A3299 E6A55_16825	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	397			carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]	carboxypeptidase activity [GO:0004180]; metal ion binding [GO:0046872]	GO:0004180; GO:0046872	reh:H16_A3299	0.6092665309102365	0.002501151688568505	2.0303876356710635	0.009324216831330097	no_keep	gray
Q0K6J9	26.2500817528586	26.29535476065285	26.3790301877124	28.48693385059404	28.640288785652896	28.64366871077925	26	29	34	41	40	40	No	No	No	No	No	No	Q0K6J9_CUPNH	ABC transporter substrate-binding protein (ABC-type transporter, periplasmic component: PepT family)	H16_A3298 E6A55_16815	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	528	peptide transport [GO:0015833]; protein transport [GO:0015031]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]; protein transport [GO:0015031]	peptide transmembrane transporter activity [GO:1904680]	GO:0015031; GO:0015833; GO:0030288; GO:0043190; GO:1904680	reh:H16_A3298	2.2821415486007766	3.6962928539653972e-06	3.7887233720400504	0.0001626584494164716	upregulate	red
Q0K6K1	20.085215022341945	20.03602336155782	20.726287242089924	23.642487002099124	23.6856393408162	23.72217662980504	0	0	0	2	2	2	Si	Si	Si	No	No	No	Q0K6K1_CUPNH	ABC transporter permease (ABC-type transporter, permease component: PepT family)	H16_A3296 E6A55_16805	Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337) (Ralstonia eutropha)	310	transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]		GO:0005886; GO:0055085	reh:H16_A3296	3.4009257822435615	0.00010882357062395825	2.9544089666461146	0.0011106853239557137	upregulate	red
